"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21968","Adding reserve IP address","chromium","Tue Dec 10 09:14:39 UYT 2024","skipped","Tue Dec 10 09:15:01 UYT 2024","Client Devices -  > Renew DHCP - ","clientdevicesTest.spec.js","",""
"","7009","Login - Error message when trying to login without Password","chromium","Tue Dec 10 14:58:39 UYT 2024","passed","Tue Dec 10 14:58:46 UYT 2024","","loginTests.spec.js","",""
"","15839","Devices in Table displays accurate data","chromium","Tue Dec 10 15:02:09 UYT 2024","failed","Tue Dec 10 15:02:25 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","12225","Cancel button should close the modal","chromium","Tue Dec 10 09:17:13 UYT 2024","failed","Tue Dec 10 09:17:25 UYT 2024","Settings/Wifi > Change Password Modal - ","settingsWifiTests.spec.js","",""
"","7168","Step 2 - All elements are correctly displayed","chromium","Tue Dec 10 14:59:00 UYT 2024","skipped","Tue Dec 10 14:59:07 UYT 2024","Getting Started Tests > Create a New Team Tests > Tests on Step 2","gettingStartedTest.spec.js","",""
"","11249","User is able to edit framerate and save it","chromium","Tue Dec 10 09:15:21 UYT 2024","passed","Tue Dec 10 09:15:32 UYT 2024","Settings/Lighting","settingsLightingTests.spec.js","",""
"","11421","DNS SERVER inputs are displayed disabled","chromium","Tue Dec 10 09:14:36 UYT 2024","passed","Tue Dec 10 09:14:47 UYT 2024","Settings/Internet - ","settingsInternetTests.spec.js","",""
"","15275","User is able to ADD Time manually","chromium","Tue Dec 10 15:03:30 UYT 2024","passed","Tue Dec 10 15:03:45 UYT 2024","Settings/General Settings/ > Set Time - ","settingsGeneralSettingsTests.spec.js","",""
"","21110","Refresh device list","chromium","Tue Dec 10 15:00:44 UYT 2024","passed","Tue Dec 10 15:01:05 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","10900","Settings/Internet/Addressing Mode - selecting Static Address will shown (IP Address, Netmask, Gateway) fields","chromium","Tue Dec 10 15:01:18 UYT 2024","passed","Tue Dec 10 15:01:29 UYT 2024","","settingsInternetTests.spec.js","",""
"","11159","Settings/Lighting - Link Slyyd Lighting Section redirects to Ports screen","chromium","Tue Dec 10 15:00:58 UYT 2024","passed","Tue Dec 10 15:01:09 UYT 2024","","settingsLightingTests.spec.js","",""
"","16588","All elements have correct attributes","chromium","Tue Dec 10 15:01:55 UYT 2024","failed","Tue Dec 10 15:02:12 UYT 2024","Settings/General Settings/ > Update Software - ","settingsGeneralSettingsTests.spec.js","",""
"","10887","Update software button is disable while nothing is uploaded","chromium","Tue Dec 10 15:02:35 UYT 2024","passed","Tue Dec 10 15:02:46 UYT 2024","Settings/General Settings/ > Update Software - ","settingsGeneralSettingsTests.spec.js","",""
"","12088","X button should close the Replace IP modal","chromium","Tue Dec 10 09:19:19 UYT 2024","passed","Tue Dec 10 09:19:31 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11866","ddressing Mode - selecting Static Address will shown (IP Address, Netmask, Gateway) fields","chromium","Tue Dec 10 09:15:11 UYT 2024","passed","Tue Dec 10 09:15:23 UYT 2024","Settings/Internet - ","settingsInternetTests.spec.js","",""
"","13211","DHCP mode input is disable","chromium","Tue Dec 10 09:16:04 UYT 2024","passed","Tue Dec 10 09:16:17 UYT 2024","Settings/Network","settingsNetworkTests.spec.js","",""
"","10753","Menu Bar - Navigate to Notifications screen","chromium","Tue Dec 10 14:59:58 UYT 2024","passed","Tue Dec 10 15:00:09 UYT 2024","","menuBarTest.spec.js","",""
"","7051","Step 1 - All elements are correctly displayed","chromium","Tue Dec 10 14:58:32 UYT 2024","skipped","Tue Dec 10 14:58:39 UYT 2024","Getting Started Tests > Create a New Team Tests","gettingStartedTest.spec.js","",""
"","11685","Navigate to Notifications screen","chromium","Tue Dec 10 09:14:07 UYT 2024","passed","Tue Dec 10 09:14:19 UYT 2024","Menu Bar Tests","menuBarTest.spec.js","",""
"","12150","All elements are correctly displayed","chromium","Tue Dec 10 09:14:23 UYT 2024","passed","Tue Dec 10 09:14:35 UYT 2024","Settings/Internet - ","settingsInternetTests.spec.js","",""
"","16630","Refreshing device list will display spinner element","chromium","Tue Dec 10 09:17:07 UYT 2024","passed","Tue Dec 10 09:17:23 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11466","General settings link will redirect to General Setting screen","chromium","Tue Dec 10 09:14:59 UYT 2024","passed","Tue Dec 10 09:15:11 UYT 2024","Settings/Internet - ","settingsInternetTests.spec.js","",""
"","11076","Settings/Network - All labels are correctly displayed","chromium","Tue Dec 10 15:01:23 UYT 2024","passed","Tue Dec 10 15:01:34 UYT 2024","","settingsNetworkTests.spec.js","",""
"","13956","All logs are correctly listed","chromium","Tue Dec 10 09:16:24 UYT 2024","passed","Tue Dec 10 09:16:38 UYT 2024","System Logs Tests","settingSystemLogsTests.spec.js","",""
"","12258","Error message is displayed when trying to saving with NO IP to replace","chromium","Tue Dec 10 09:19:32 UYT 2024","passed","Tue Dec 10 09:19:44 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11812","Rebooting device","chromium","Tue Dec 10 15:03:44 UYT 2024","passed","Tue Dec 10 15:03:56 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11850","Rebooting device should restart the device","chromium","Tue Dec 10 09:18:11 UYT 2024","passed","Tue Dec 10 09:18:23 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","10756","Settings/Wifi/Change Password - Correct Password with New and Confirm Key not matching","chromium","Tue Dec 10 15:03:13 UYT 2024","passed","Tue Dec 10 15:03:24 UYT 2024","","settingsWifiTests.spec.js","",""
"","7186","Dashboard - All elements are visible","chromium","Tue Dec 10 14:58:31 UYT 2024","passed","Tue Dec 10 14:58:38 UYT 2024","","dashboardTests.spec.js","",""
"","11787","Filtering slyyd devices using buttons should display all correct devices","chromium","Tue Dec 10 09:17:47 UYT 2024","passed","Tue Dec 10 09:17:59 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","9793","All elements are correctly displayed","chromium","Tue Dec 10 09:15:53 UYT 2024","failed","Tue Dec 10 09:16:03 UYT 2024","Settings/Wifi","settingsWifiTests.spec.js","",""
"","12177","Pressing Confirm button with all fields empty except Confirm Key input should trigger an error message","chromium","Tue Dec 10 09:16:47 UYT 2024","failed","Tue Dec 10 09:16:59 UYT 2024","Settings/Wifi > Change Password Modal - ","settingsWifiTests.spec.js","",""
"","10873","Dashboard - All elements correctly displayed","chromium","Tue Dec 10 14:58:56 UYT 2024","passed","Tue Dec 10 14:59:07 UYT 2024","","networkTopologyTests.spec.js","",""
