"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10555","Hovering restart all system button in Settings/Lighting screen will display a descriptive text element","chromium","Fri Dec 13 20:33:53 UYT 2024","passed","Fri Dec 13 20:34:04 UYT 2024","","settingsLightingTests.spec.js","",""
"","11707","Cancel button should close the software update modal as expected","chromium","Fri Dec 13 20:38:02 UYT 2024","passed","Fri Dec 13 20:38:14 UYT 2024","","slyydDevicesTests.spec.js","",""
"","11610","Import Settings button is disable until the backup gets uploaded","chromium","Fri Dec 13 20:31:54 UYT 2024","passed","Fri Dec 13 20:32:05 UYT 2024","","GeneralSettingsTests/ImportSettings.spec.js","",""
"","10462","User is able to navigate to Client Devices screen","chromium","Fri Dec 13 20:33:30 UYT 2024","passed","Fri Dec 13 20:33:40 UYT 2024","","menuBarTest.spec.js","",""
"","10826","Click on Manual Upload will display a textarea to upload backups","chromium","Fri Dec 13 20:31:32 UYT 2024","passed","Fri Dec 13 20:31:43 UYT 2024","","GeneralSettingsTests/ImportSettings.spec.js","",""
"","12047","When Creating backup a success message is displayed","chromium","Fri Dec 13 20:31:54 UYT 2024","passed","Fri Dec 13 20:32:06 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","10732","Pressing Confirm button with empty fields should trigger an error message","chromium","Fri Dec 13 20:34:55 UYT 2024","passed","Fri Dec 13 20:35:06 UYT 2024","","settingsWifiTests.spec.js","",""
"","13439","User is able to set Date manually","chromium","Fri Dec 13 20:32:16 UYT 2024","passed","Fri Dec 13 20:32:30 UYT 2024","","GeneralSettingsTests/SetTime.spec.js","",""
"","10792","In Slyyd Devices screen all elements are correctly displayed","chromium","Fri Dec 13 20:34:36 UYT 2024","passed","Fri Dec 13 20:34:47 UYT 2024","","slyydDevicesTests.spec.js","",""
"","10673","Searching Slyyd devices by name should display all correct devices","chromium","Fri Dec 13 20:35:45 UYT 2024","passed","Fri Dec 13 20:35:56 UYT 2024","","slyydDevicesTests.spec.js","",""
"","20510","User is able to edit the Device name","chromium","Fri Dec 13 20:32:10 UYT 2024","skipped","Fri Dec 13 20:32:30 UYT 2024","","clientDevicesRenewDHCPTests.spec.js","",""
"","11268","In Create Backup Modal all elements are correctly displayed","chromium","Fri Dec 13 20:30:48 UYT 2024","passed","Fri Dec 13 20:30:59 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","11321","Entering password only in confirm password input should display inline error message","chromium","Fri Dec 13 20:31:43 UYT 2024","passed","Fri Dec 13 20:31:54 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","10606","Adding Correct Password but New and Confirm Key not matching should trigger an error message","chromium","Fri Dec 13 20:35:38 UYT 2024","passed","Fri Dec 13 20:35:48 UYT 2024","","settingsWifiTests.spec.js","",""
"","10647","Clicking eyes element on Change Password Modal should revealing the text on inputs fields","chromium","Fri Dec 13 20:31:21 UYT 2024","passed","Fri Dec 13 20:31:32 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","11391","Device name in Client Devices opens device info section","chromium","Fri Dec 13 20:30:49 UYT 2024","failed","Fri Dec 13 20:31:00 UYT 2024","","clientdevicesTest.spec.js","",""
"","0","User is able to login with the new password when edited","chromium","Fri Dec 13 20:32:07 UYT 2024","skipped","Fri Dec 13 20:32:07 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","14333","User is able to ADD Time manually","chromium","Fri Dec 13 20:32:30 UYT 2024","passed","Fri Dec 13 20:32:44 UYT 2024","","GeneralSettingsTests/SetTime.spec.js","",""
"","10484","Ports - All elements are visibles","chromium","Fri Dec 13 20:33:22 UYT 2024","passed","Fri Dec 13 20:33:32 UYT 2024","","portsTests.spec.js","",""
"","11488","X button close the software update modal as expected","chromium","Fri Dec 13 20:32:29 UYT 2024","passed","Fri Dec 13 20:32:41 UYT 2024","","GeneralSettingsTests/SoftwareUpdate.spec.js","",""
"","10531","Cancel button should close Create Backup Modal","chromium","Fri Dec 13 20:31:20 UYT 2024","passed","Fri Dec 13 20:31:31 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","11705","User is able to Cancel backup deletion","chromium","Fri Dec 13 20:32:18 UYT 2024","passed","Fri Dec 13 20:32:29 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","11474","X button should close the software update modal as expected","chromium","Fri Dec 13 20:37:51 UYT 2024","passed","Fri Dec 13 20:38:02 UYT 2024","","slyydDevicesTests.spec.js","",""
"","10679","The devices listed in the table in Slyyd Devices screen at least contains 1 device","chromium","Fri Dec 13 20:34:47 UYT 2024","passed","Fri Dec 13 20:34:58 UYT 2024","","slyydDevicesTests.spec.js","",""
"","8127","Dashboard is the first screen displayed by default after Login","chromium","Fri Dec 13 20:30:26 UYT 2024","passed","Fri Dec 13 20:30:34 UYT 2024","","dashboardTests.spec.js","",""
"","6428","Login - Error message when trying to login without Password","chromium","Fri Dec 13 20:33:07 UYT 2024","passed","Fri Dec 13 20:33:13 UYT 2024","","loginTests.spec.js","",""
"","20761","In System Logs screen all elements are correctly visibles","chromium","Fri Dec 13 20:34:32 UYT 2024","passed","Fri Dec 13 20:34:52 UYT 2024","","settingSystemLogsTests.spec.js","",""
"","10582","In Create Backup Modal all elements has their correct attributes","chromium","Fri Dec 13 20:30:59 UYT 2024","passed","Fri Dec 13 20:31:09 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","8441","User is able to navigate to Notifications screen","chromium","Fri Dec 13 20:34:01 UYT 2024","passed","Fri Dec 13 20:34:10 UYT 2024","","menuBarTest.spec.js","",""
"","10841","X button in Change Password Modal should close the modal","chromium","Fri Dec 13 20:30:49 UYT 2024","passed","Fri Dec 13 20:31:00 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","10843","In Settings/Network screen all elements are correctly visibles and displayed","chromium","Fri Dec 13 20:33:59 UYT 2024","passed","Fri Dec 13 20:34:10 UYT 2024","","settingsNetworkTests.spec.js","",""
"","13652","Lighticians web is correctly access when clicking the link","chromium","Fri Dec 13 20:33:02 UYT 2024","passed","Fri Dec 13 20:33:16 UYT 2024","","GeneralSettingsTests/SoftwareUpdate.spec.js","",""
"","10576","In Settings/Lighting screen all elements are correctly displayed","chromium","Fri Dec 13 20:33:43 UYT 2024","passed","Fri Dec 13 20:33:53 UYT 2024","","settingsLightingTests.spec.js","",""
"","10858","In Client Devices screen all the Table content is accurate","chromium","Fri Dec 13 20:30:38 UYT 2024","passed","Fri Dec 13 20:30:49 UYT 2024","","clientdevicesTest.spec.js","",""
"","12953","User is able to replace IP address","chromium","Fri Dec 13 20:37:26 UYT 2024","passed","Fri Dec 13 20:37:39 UYT 2024","","slyydDevicesTests.spec.js","",""
"","8888","User is able to close Notifications Window","chromium","Fri Dec 13 20:33:25 UYT 2024","passed","Fri Dec 13 20:33:34 UYT 2024","","notificationTests.spec.js","",""
"","11533","Create button should attach Backup copy in general settings screen","chromium","Fri Dec 13 20:31:31 UYT 2024","passed","Fri Dec 13 20:31:42 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","10553","User is able to see all elements in Settings/Firewall correctly displayed","chromium","Fri Dec 13 20:33:27 UYT 2024","passed","Fri Dec 13 20:33:37 UYT 2024","","settingsFirewallTests.spec.js","",""
"","10628","Hovering forget button in each slyyd device should display a message","chromium","Fri Dec 13 20:35:35 UYT 2024","passed","Fri Dec 13 20:35:45 UYT 2024","","slyydDevicesTests.spec.js","",""
"","11524","Error message is displayed when trying to saving with NO IP to replace","chromium","Fri Dec 13 20:37:03 UYT 2024","passed","Fri Dec 13 20:37:15 UYT 2024","","slyydDevicesTests.spec.js","",""
"","7012","All elements are correctly visibles in the Dashboard","chromium","Fri Dec 13 20:30:34 UYT 2024","passed","Fri Dec 13 20:30:41 UYT 2024","","dashboardTests.spec.js","",""
"","8719","All links on Menu Bar are correctly displayed","chromium","Fri Dec 13 20:33:00 UYT 2024","passed","Fri Dec 13 20:33:08 UYT 2024","","menuBarTest.spec.js","",""
"","15502","Refreshing device list will display spinner element","chromium","Fri Dec 13 20:35:19 UYT 2024","passed","Fri Dec 13 20:35:35 UYT 2024","","slyydDevicesTests.spec.js","",""
"","6659","All elements are correctly displayed in the Step 1 screen","chromium","Fri Dec 13 20:32:37 UYT 2024","skipped","Fri Dec 13 20:32:44 UYT 2024","Create a New Team Tests","gettingStartedTest.spec.js","",""
"","10641","Trying to change password in Change Password Modal with empty fields should display inline error message","chromium","Fri Dec 13 20:31:00 UYT 2024","passed","Fri Dec 13 20:31:11 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","10817","All elements are visible","chromium","Fri Dec 13 20:32:07 UYT 2024","passed","Fri Dec 13 20:32:18 UYT 2024","","GeneralSettingsTests/SoftwareUpdate.spec.js","",""
"","13180","When user delete backup a success message is displayed","chromium","Fri Dec 13 20:32:29 UYT 2024","passed","Fri Dec 13 20:32:42 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
